0,1,2,3,4,5,6,7,8,9,10
pastry,whole milk,,,,,,,,,
salt,tropical fruit,newspapers,,,,,,,,
beverages,mustard,,,,,,,,,
organic sausage,processed cheese,oil,,,,,,,,
sugar,processed cheese,,,,,,,,,
long life bakery product,ketchup,,,,,,,,,
pork,bottled beer,,,,,,,,,
pork,bottled beer,whole milk,margarine,,,,,,,
soda,canned vegetables,,,,,,,,,
citrus fruit,candy,bottled water,rolls/buns,,,,,,,
meat,hygiene articles,hard cheese,cat food,,,,,,,
dessert,napkins,long life bakery product,,,,,,,,
dessert,whipped/sour cream,,,,,,,,,
curd,cream cheese ,hygiene articles,,,,,,,,
dishes,oil,,,,,,,,,
yogurt,yogurt,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
citrus fruit,pastry,other vegetables,pastry,,,,,,,
pip fruit,frozen vegetables,whipped/sour cream,whipped/sour cream,,,,,,,
ham,tropical fruit,,,,,,,,,
soda,tropical fruit,,,,,,,,,
citrus fruit,beef,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
other vegetables,frankfurter,rolls/buns,coffee,ice cream,,,,,,
other vegetables,curd,,,,,,,,,
canned beer,newspapers,,,,,,,,,
shopping bags,coffee,,,,,,,,,
domestic eggs,coffee,pastry,,,,,,,,
turkey,beef,root vegetables,margarine,shopping bags,curd,,,,,
soda,yogurt,,,,,,,,,
whole milk,bottled water,,,,,,,,,
soda,butter,,,,,,,,,
beef,long life bakery product,berries,candles,,,,,,,
salt,soda,rolls/buns,,,,,,,,
pork,brown bread,misc. beverages,,,,,,,,
rolls/buns,ham,whole milk,sliced cheese,whole milk,fruit/vegetable juice,pickled vegetables,misc. beverages,,,
other vegetables,rolls/buns,sweet spreads,,,,,,,,
beef,beef,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
pip fruit,frozen vegetables,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
tropical fruit,long life bakery product,,,,,,,,,
soda,beef,soda,margarine,,,,,,,
sausage,sliced cheese,,,,,,,,,
curd,soft cheese,,,,,,,,,
pastry,bottled beer,,,,,,,,,
tropical fruit,root vegetables,detergent,,,,,,,,
fruit/vegetable juice,beverages,,,,,,,,,
beef,whole milk,,,,,,,,,
pip fruit,waffles,,,,,,,,,
canned fruit,brown bread,,,,,,,,,
curd,bottled water,tropical fruit,other vegetables,,,,,,,
pork,whipped/sour cream,,,,,,,,,
sausage,soda,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
citrus fruit,newspapers,shopping bags,,,,,,,,
meat,pasta,baking powder,,,,,,,,
tropical fruit,soda,,,,,,,,,
frozen meals,bottled water,,,,,,,,,
tropical fruit,other vegetables,pastry,tropical fruit,long life bakery product,bottled water,UHT-milk,fruit/vegetable juice,,,
frankfurter,ketchup,,,,,,,,,
soda,coffee,cling film/bags,,,,,,,,
pip fruit,pork,brown bread,whole milk,,,,,,,
citrus fruit,butter milk,,,,,,,,,
bottled beer,hygiene articles,,,,,,,,,
canned beer,domestic eggs,white wine,waffles,,,,,,,
pip fruit,soda,,,,,,,,,
beef,ketchup,pork,hygiene articles,,,,,,,
other vegetables,bottled beer,,,,,,,,,
frankfurter,frozen vegetables,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
chocolate marshmallow,whipped/sour cream,,,,,,,,,
butter,specialty chocolate,frozen meals,,,,,,,,
beef,pot plants,frozen meals,,,,,,,,
other vegetables,napkins,white wine,,,,,,,,
rolls/buns,whole milk,soda,,,,,,,,
butter,condensed milk,,,,,,,,,
chocolate,frozen meals,,,,,,,,,
white bread,frozen vegetables,,,,,,,,,
chicken,yogurt,,,,,,,,,
bottled beer,frankfurter,pastry,sliced cheese,frozen vegetables,,,,,,
frankfurter,canned beer,citrus fruit,frozen vegetables,chicken,oil,soda,,,,
tropical fruit,salty snack,,,,,,,,,
domestic eggs,whole milk,napkins,,,,,,,,
beef,other vegetables,,,,,,,,,
canned beer,bottled water,,,,,,,,,
yogurt,sugar,,,,,,,,,
flower (seeds),white wine,,,,,,,,,
sausage,pet care,,,,,,,,,
herbs,sugar,,,,,,,,,
white wine,bottled beer,,,,,,,,,
butter milk,soda,seasonal products,,,,,,,,
whole milk,bottled water,,,,,,,,,
other vegetables,soft cheese,,,,,,,,,
white bread,newspapers,,,,,,,,,
chicken,whole milk,,,,,,,,,
chocolate,frankfurter,yogurt,margarine,canned vegetables,,,,,,
whole milk,fruit/vegetable juice,rolls/buns,,,,,,,,
other vegetables,abrasive cleaner,bottled beer,,,,,,,,
soap,rum,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
frozen meals,other vegetables,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
specialty bar,soda,,,,,,,,,
chewing gum,bottled water,,,,,,,,,
sausage,mustard,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
hamburger meat,sausage,grapes,soda,,,,,,,
chicken,margarine,yogurt,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
candy,pastry,napkins,,,,,,,,
pip fruit,yogurt,citrus fruit,dental care,soda,shopping bags,,,,,
other vegetables,whole milk,,,,,,,,,
whole milk,brown bread,,,,,,,,,
packaged fruit/vegetables,yogurt,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
turkey,specialty bar,,,,,,,,,
salty snack,pastry,oil,,,,,,,,
sausage,whole milk,,,,,,,,,
yogurt,brown bread,,,,,,,,,
pork,nuts/prunes,rolls/buns,,,,,,,,
UHT-milk,other vegetables,cake bar,,,,,,,,
dish cleaner,pet care,,,,,,,,,
chicken,bottled water,,,,,,,,,
chewing gum,other vegetables,specialty bar,,,,,,,,
coffee,oil,,,,,,,,,
soda,whole milk,,,,,,,,,
root vegetables,misc. beverages,frozen dessert,,,,,,,,
soda,shopping bags,,,,,,,,,
beverages,soda,,,,,,,,,
waffles,Instant food products,,,,,,,,,
whole milk,waffles,,,,,,,,,
berries,soda,oil,,,,,,,,
photo/film,cat food,,,,,,,,,
butter,mustard,,,,,,,,,
soda,napkins,,,,,,,,,
onions,whole milk,cling film/bags,,,,,,,,
chocolate marshmallow,brown bread,,,,,,,,,
ice cream,flower (seeds),,,,,,,,,
yogurt,chewing gum,shopping bags,,,,,,,,
whole milk,other vegetables,,,,,,,,,
ham,specialty bar,,,,,,,,,
hygiene articles,pastry,bottled beer,,,,,,,,
frankfurter,canned beer,soda,,,,,,,,
meat,whipped/sour cream,,,,,,,,,
tropical fruit,frozen fish,bottled water,,,,,,,,
whole milk,soda,,,,,,,,,
nut snack,canned beer,,,,,,,,,
softener,margarine,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
semi-finished bread,spices,,,,,,,,,
other vegetables,curd,,,,,,,,,
other vegetables,bottled water,shopping bags,,,,,,,,
UHT-milk,curd,flower (seeds),,,,,,,,
whipped/sour cream,specialty chocolate,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
soda,specialty cheese,napkins,,,,,,,,
pork,whole milk,,,,,,,,,
pork,specialty bar,long life bakery product,,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
other vegetables,soda,yogurt,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
whipped/sour cream,specialty bar,,,,,,,,,
bottled beer,rolls/buns,,,,,,,,,
meat,frozen potato products,,,,,,,,,
whole milk,white bread,,,,,,,,,
meat,oil,,,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
hamburger meat,canned beer,other vegetables,canned fruit,,,,,,,
cling film/bags,coffee,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
pork,frozen vegetables,frozen meals,other vegetables,popcorn,oil,,,,,
pastry,fruit/vegetable juice,,,,,,,,,
berries,grapes,onions,,,,,,,,
root vegetables,semi-finished bread,,,,,,,,,
newspapers,chicken,pip fruit,,,,,,,,
fruit/vegetable juice,salty snack,,,,,,,,,
tropical fruit,whole milk,sweet spreads,,,,,,,,
liquor,red/blush wine,,,,,,,,,
other vegetables,whole milk,light bulbs,canned beer,,,,,,,
bottled beer,whole milk,,,,,,,,,
soft cheese,soda,,,,,,,,,
domestic eggs,rolls/buns,,,,,,,,,
baking powder,yogurt,,,,,,,,,
coffee,whole milk,,,,,,,,,
cream cheese ,yogurt,whipped/sour cream,,,,,,,,
pip fruit,specialty chocolate,,,,,,,,,
brown bread,hygiene articles,shopping bags,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
dessert,whipped/sour cream,,,,,,,,,
pork,curd,,,,,,,,,
specialty vegetables,yogurt,,,,,,,,,
tropical fruit,whole milk,long life bakery product,,,,,,,,
sparkling wine,bottled water,,,,,,,,,
citrus fruit,white bread,,,,,,,,,
margarine,whipped/sour cream,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
tropical fruit,white bread,butter,,,,,,,,
brown bread,yogurt,,,,,,,,,
roll products ,rice,,,,,,,,,
whole milk,waffles,dessert,,,,,,,,
nuts/prunes,cream cheese ,,,,,,,,,
butter,chocolate,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
pip fruit,candy,,,,,,,,,
margarine,frozen vegetables,baking powder,,,,,,,,
soda,salt,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
pip fruit,abrasive cleaner,,,,,,,,,
waffles,whole milk,condensed milk,,,,,,,,
onions,rolls/buns,,,,,,,,,
soda,shopping bags,,,,,,,,,
specialty cheese,napkins,,,,,,,,,
sparkling wine,waffles,,,,,,,,,
berries,bottled beer,,,,,,,,,
root vegetables,red/blush wine,,,,,,,,,
coffee,root vegetables,whipped/sour cream,,,,,,,,
brown bread,cat food,,,,,,,,,
sausage,domestic eggs,,,,,,,,,
misc. beverages,pet care,,,,,,,,,
meat,frozen potato products,,,,,,,,,
other vegetables,specialty chocolate,chocolate,,,,,,,,
sausage,pasta,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
whole milk,brown bread,pastry,dessert,,,,,,,
root vegetables,sliced cheese,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
dessert,rolls/buns,,,,,,,,,
coffee,soda,frozen vegetables,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
pastry,whole milk,,,,,,,,,
